name,image,originalPrice,price,discount,ratingScore,review,location,description,brandName,inStock
Gigabyte GT 710 (2GB DDR5) Graphics Card,https://static-01.daraz.com.bd/p/2c2356ef0b5146498d550417dd536f48.jpg,7900,6500,-0.18,4.9,9,Bangladesh,"Model: Gigabyte GV-N710D5-2GL', 'Video Memory: 2 GB GDDR5', 'Clock: Base 5010 MHz', 'Resolution: 4096 X 2160', 'Dual-link DVI-I*1 / HDMI*1', 'Powered by NVIDIA GeForce GT 710 GPU ', 'Integrated with 2GB GDDR5 64bit memory interface', 'Core clockï¼š 954MHz', 'Features Dual-link DVI-I / HDMI', 'Support PCI Express 2.0 x8 bus interface', 'Recommended system power supply requirement: 300W', '03 Years Warranty'",No Brand,TRUE
COOLMOON GT8 Graphics Card Bracket ARGB Computer Shenguang Synchronous Horizontal Chassis Decoration Fixed GPU Support Bracket,https://static-01.daraz.com.bd/p/f24a4860873900b3cef4ff4038d0895b.jpg,1192,1167,-0.02,4.8,5,China,,No Brand,TRUE
PELADN RX 580 8GB GDDR5 Graphics Cards GPU Mining Video Card RX580 8G Computer Gaming Video Card,https://static-01.daraz.com.bd/p/4dc3a474915acc91cc750ae1ed8e70f6.png,22199,11241,-0.49,3,1,China,,No Brand,TRUE
"GT210 1G D2 64BIT Image Card, Dual-Screen Bright Image Card Supports Large and Small Chassis/All-In-One/Desktop",https://static-01.daraz.com.bd/p/1ee4fca1e7e5d21924f7f46203211471.jpg,4556,2793,-0.39,5,6,China,Graphics card',No Brand,TRUE
PELADN RX5500 XT Graphics Card for Amd Radeon 8GB GDDR6 Video Cards for AMD GPU Gaming Video Card,https://static-01.daraz.com.bd/p/eabc7f32037470b0e11ae21fee4791ad.png,32491,16735,-0.48,5,2,China,,No Brand,TRUE
Desktop Graphics Card GT730 2G DDR3 64Bit Video Graphics Card Gaming Computer,https://static-01.daraz.com.bd/p/e459fb9dc7349530d3eb96789aa081e8.jpg,4686,3124,-0.33,3,4,China,"Feature:100% new brand and high qualitySuper low consumption and calorific value.  It has HDMI, VGA, DVI interfaces, support high definition video.  With dual cooler fan for good heat dissipation.Multi-phase power supply. Compact size, easy to install.Description:Item type: Graphics cardModel : GTX730  2GVideo memory type :DDR3Graphics card slots :PCI Express 2.0Number of assembly lines :48Core frequency :810MHzChip manufacturing process :28 nmType: game levelInterface: HDMI, VGA. DVI. PCI - EVideo memory width :64bitProduct size: As picture shownVideo storage frequency :1200MHz3DAPI: DirectX11Package Included:1 x Graphics card1 x CD driveNote:Transition: 1cm=10mm=0.39inchPlease allow 1-3mm error due to manual measurement. pls make sure you do not mind before you bid.Due to the difference between different monitors, the picture may not reflect the actual color of the item. Thank you!'",No Brand,TRUE
RX580 8G AMD Gaming Graphics Card 8GB GDDR5 256BIT 2048SP 1206MHz/1500 MHz PCI-E3.0 X16 DVI DP HDMI-Compatible Interface,https://static-01.daraz.com.bd/p/89bd88f39c0c8ca3add8226dd0fbbf90.jpg,9983,9682,-0.03,5,1,China,,No Brand,TRUE
New PCI-E pcie Riser 009 Express 1X 4x 8x 16x Extender PCI E USB Riser 009S Dual 6Pin Adapter Card SATA 15pin for BTC Miner,https://static-01.daraz.com.bd/p/33b89fa1c2bb38af57085de32eb97e58.jpg,800,620,-0.23,4.5,30,Bangladesh,,No Brand,TRUE
GT610 Graphics Card DDR3 True 2GB 810MHZ Computer Video Card PCI-E 16X HDMI-Compatible+VGA+DVI Low Noise for Desktop PC,https://static-01.daraz.com.bd/p/2e47e8739f7709cf68da947658d81c9a.png,2502,2502,Not Available,Not Available,0,China,,No Brand,TRUE
Graphics card Parts connector by Mk daz,https://static-01.daraz.com.bd/p/63b8431a442cdf5641eb57aee6272295.jpg,23000,23000,Not Available,5,1,Bangladesh,"Graphics card parts', 'non Barand product  ', 'easy to setup', 'Easy to connect', 'Low in cost', 'Make your computer fast', '7 days return', 'No warranty'",No Brand,TRUE
Seed Tray 128 cells-Plant Seeds Grow Nursery Pots Tray Vegetable Plastic Nursery Tray Seedling Tray 128 Cell,https://static-01.daraz.com.bd/p/010e9219a3e4121ad6b8599d0e3918de.jpg,155,99,-0.36,4.5,15,Bangladesh,"Type:Nursery Trays & LidsPlace of Origin:Zhejiang, ChinaMaterial: PlasticPlastic Type: PSFinishing: Not CoatedThickness:0.5mmCell count: 8*16Size:11"" * 21""Hole Diameter:3CMPlastic type:PSShape:RectangleApplication:Seed plantingColor:BlackService life:3-4years'",No Brand,TRUE
Adjustable Graphics Card GPU Support Bracket Brace Video Card Holder Stand,https://static-01.daraz.com.bd/p/d31f5b393e7f68ec620a3ccfb760daf8.jpg,848,707,-0.17,4.5,2,China,,No Brand,TRUE
